monthyear,chumphon,suratthani
1/2024,1233,236
2/2024,171,42
3/2024,2989,
4/2024,139,
5/2024,2164,25
6/2024,4944,253
7/2024,1417,2326
8/2024,19356,16534
9/2024,26777,13681
1/2024,14645,382
11/2024,2332,4318
12/2024,5316,617
1/2025,,
2/2025,,
3/2025,,
4/2025,,
5/2025,45,
6/2025,9164,588
7/2025,18381,1284
8/2025,41274,154
9/2025,13753,4822
1/2025,4583,1836
11/2025,,
12/2025,,
1/2026,,
2/2026,,
3/2026,,
4/2026,,
5/2026,1597,
6/2026,9631,
7/2026,26849,6431
8/2026,25552,1156
9/2026,7486,6647
1/2026,2249,494
11/2026,524,3237
12/2026,973,
1/2027,,
2/2027,162,
3/2027,668,
4/2027,,
5/2027,528,1578
6/2027,1589,3311
7/2027,37522,1587
8/2027,43798,14745
9/2027,16424,8277
1/2027,371,
11/2027,5476,
12/2027,3873,
1/2028,,
2/2028,,
3/2028,,
4/2028,,
5/2028,51,289
6/2028,15862,169
7/2028,217,763
8/2028,2757,2636
9/2028,23496,7349
1/2028,382,
11/2028,3279,
12/2028,1368,
1/2029,2517,92
2/2029,2517,1877
3/2029,2517,185
4/2029,,
5/2029,3831,112
6/2029,9257,137
7/2029,35753,6894
8/2029,35778,14875
9/2029,13984,383
1/2029,9847,121
11/2029,426,1624
12/2029,2517,166
1/2021,33,
2/2021,,
3/2021,2632,
4/2021,26,
5/2021,2143,6
6/2021,1256,3868
7/2021,3393,1172
8/2021,24515,1133
9/2021,1281,3949
1/2021,971,2173
11/2021,9153,
12/2021,469,
1/1/211,,
1/2/211,,
1/3/211,,
1/4/211,,
1/5/211,,
1/6/211,6468,1675
1/7/211,967,2768
1/8/211,1877,16383
1/9/211,133,15
1/1/211,1492,
1/11/211,166,
1/12/211,565,
1/1/212,3323,2724
1/2/212,2135,973
1/3/212,726,
1/4/212,1782,
1/5/212,4291,
1/6/212,11674,471
1/7/212,2542,3265
1/8/212,21147,9847
1/9/212,252,433
1/1/212,123,486
1/11/212,441,2617
1/12/212,4962,329
1/1/213,6822,262
1/2/213,4955,1757
1/3/213,,
1/4/213,,
1/5/213,,
1/6/213,6975,
1/7/213,12133,7574
1/8/213,3833,1919
1/9/213,32752,4914
1/1/213,8944,1876
1/11/213,963,2497
1/12/213,655,413
1/1/214,65,
1/2/214,97,
1/3/214,453,
1/4/214,32,
1/5/214,756,
1/6/214,5894,
1/7/214,2917,5277
1/8/214,79198,15243
1/9/214,23125,4397
1/1/214,81,2931
1/11/214,1814,1466
1/12/214,97,
1/1/215,1282,4252
1/2/215,685,7681
1/3/215,1,
1/4/215,37,
1/5/215,212,
1/6/215,172,54
1/7/215,339,6373
1/8/215,4495,3975
1/9/215,15935,4762
1/1/215,591,679
1/11/215,5216,33
1/12/215,625,232
1/1/216,4323,
1/2/216,632,
1/3/216,279,
1/4/216,137,
1/5/216,328,
1/6/216,2928,349
1/7/216,2886,9623
1/8/216,6813,161
1/9/216,48334,2816
1/1/216,31671,44
1/11/216,252,
1/12/216,316,
1/1/217,172,62
1/2/217,2137,88
1/3/217,868,
1/4/217,114,
1/5/217,1143,
1/6/217,1257,17
1/7/217,14556,1539
1/8/217,56863,8465
1/9/217,2919,7234
1/1/217,9951,2993
1/11/217,3839,78
1/12/217,93,17
1/1/218,7352,393
1/2/218,9735,81
1/3/218,6361,33
1/4/218,139,
1/5/218,5897,
1/6/218,1151,2
1/7/218,38167,4414
1/8/218,4163,1397
1/9/218,1362,652
1/1/218,9333,
1/11/218,777,
1/12/218,5185,
1/1/219,1181,186
1/2/219,14192,761
1/3/219,754,
1/4/219,1111,
1/5/219,155,
1/6/219,634,122
1/7/219,31661,7167
1/8/219,127534,21556
1/9/219,3941,7272
1/1/219,6471,3739
1/11/219,1526,1512
1/12/219,2133,99
1/2022,1546,53
2/2022,1893,21
3/2022,1231,
4/2022,316,
5/2022,815,44
6/2022,3957,1521
7/2022,86114,16336
8/2022,61818,15247
9/2022,82454,3641
1/2022,372,256
11/2022,978,
12/2022,978,
